borough,crash_day,total_collisions,injury_incidents,fatal_incidents
BROOKLYN,2024-11-10,58,26,0
QUEENS,2024-11-10,50,26,0
MANHATTAN,2024-11-10,28,9,0
BRONX,2024-11-10,20,5,0
STATEN ISLAND,2024-11-10,3,1,0
BROOKLYN,2024-11-09,67,28,0
QUEENS,2024-11-09,59,26,0
BRONX,2024-11-09,42,17,1
MANHATTAN,2024-11-09,41,20,0
STATEN ISLAND,2024-11-09,4,1,0
BROOKLYN,2024-11-08,86,37,0
QUEENS,2024-11-08,59,28,0
MANHATTAN,2024-11-08,49,19,0
BRONX,2024-11-08,30,15,0
STATEN ISLAND,2024-11-08,7,2,0
BROOKLYN,2024-11-07,70,36,0
QUEENS,2024-11-07,53,20,0
MANHATTAN,2024-11-07,36,14,0
BRONX,2024-11-07,23,15,0
STATEN ISLAND,2024-11-07,10,7,0
BROOKLYN,2024-11-06,83,41,1
QUEENS,2024-11-06,57,34,0
BRONX,2024-11-06,44,26,0
MANHATTAN,2024-11-06,40,19,0
STATEN ISLAND,2024-11-06,13,5,0
BROOKLYN,2024-11-05,71,36,0
QUEENS,2024-11-05,41,21,0
MANHATTAN,2024-11-05,37,16,0
BRONX,2024-11-05,20,8,0
STATEN ISLAND,2024-11-05,8,3,0
BROOKLYN,2024-11-04,71,32,0
QUEENS,2024-11-04,52,20,0
MANHATTAN,2024-11-04,32,15,0
BRONX,2024-11-04,31,10,0
STATEN ISLAND,2024-11-04,5,1,0
BROOKLYN,2024-11-03,68,30,0
QUEENS,2024-11-03,53,22,0
MANHATTAN,2024-11-03,40,19,1
BRONX,2024-11-03,28,11,0
STATEN ISLAND,2024-11-03,11,4,0
BROOKLYN,2024-11-02,73,34,0
QUEENS,2024-11-02,41,18,0
MANHATTAN,2024-11-02,38,16,1
BRONX,2024-11-02,23,8,1
STATEN ISLAND,2024-11-02,6,0,0
BROOKLYN,2024-11-01,72,32,1
QUEENS,2024-11-01,59,25,1
MANHATTAN,2024-11-01,57,28,0
BRONX,2024-11-01,29,17,0
STATEN ISLAND,2024-11-01,5,4,0
QUEENS,2024-10-31,74,34,0
BROOKLYN,2024-10-31,72,32,0
MANHATTAN,2024-10-31,40,20,0
BRONX,2024-10-31,36,15,0
STATEN ISLAND,2024-10-31,10,3,0
BROOKLYN,2024-10-30,66,27,1
QUEENS,2024-10-30,49,19,0
MANHATTAN,2024-10-30,36,15,0
BRONX,2024-10-30,24,8,0
STATEN ISLAND,2024-10-30,7,4,1
BROOKLYN,2024-10-29,88,37,1
MANHATTAN,2024-10-29,41,17,0
QUEENS,2024-10-29,38,22,0
BRONX,2024-10-29,27,10,0
STATEN ISLAND,2024-10-29,4,1,0
BROOKLYN,2024-10-28,85,35,0
QUEENS,2024-10-28,71,33,0
MANHATTAN,2024-10-28,43,20,1
BRONX,2024-10-28,33,19,0
STATEN ISLAND,2024-10-28,8,5,0
BROOKLYN,2024-10-27,69,31,0
